Document,Dominant Topic,Probability,Original Text
20,4,0.38538507,"""hot"" product for freezing conditions 🔥❄️😉 a heat pump is an environmentally-friendly and efficient heating system, ideally powered by green electricity. to ensure that our heat pumps work as efficiently as possible, we put them through their paces with a range of tests, including testing in temperatures as low as -30 °c. and the demand for this sustainable heating technology is constantly growing. 🏠🚘 from climate-friendly heating to sustainable mobility: at bosch, we want to develop technology that is ""invented for life"" for people around the world and thus make a meaningful contribution to society. and in a challenging environment, this growing importance of sustainability continues to be one of our growth drivers: our preliminary figures show that we succeeded in increasing sales and result in the 2022 business year with total sales of 88.4 billion euros. and were not just growing our sustainability efforts, but also our workforce: in 2022, the number of people working at bosch increased by some 4% to 420,300 bosch associates worldwide. 🌍 the number of software developers rose from 38,000 to 44,000, and we expect to add around 10,000 more by 2025. learn more about our preliminary figures and strategy: "
21,11,0.28964794,have you ever moved abroad for professional development? 🤔🌎 👋 meet s experience too: 
22,1,0.34869277,"ready for some cutting-edge technology? 😉 our indego m+700 robotic lawn mower intelligently navigates across your lawn, while logicut technology ensures that it drives straight parallel lines, all thanks to our innovative inertial sensors like the bmi160. simply start the app, lean back, and watch your garden transform with a perfect, even mowing result right to the edge. 🌼🌷 learn more: "
23,11,0.7269312,"Have you ever heard of Active Sourcing?Luca, Catarina and Filipa from Lisbon deal with identifying the right talents for selected areas at Bosch and addressing them in a targeted manner.To do this, they work closely with the recruiters: inside the People Acquisition Campus.To promote cooperation and strengthen personal contact, you have visited the PAC colleague: inside in Stuttgart.💪😊 Our Active Sourcing Teams are looking for experts: inside around the world - for example also about LinkedIn.The contact is made by direct message.If you always keep your profile with your stations and skills up to date, this is an advantage when searching.🔎 Even if virtual cooperation is already working well, this workshop on site has shown again how useful it is to exchange ideas personally.This not only strengthened how to deal with each other, but also brought them closer together as a team.What is a successful cooperation for you?Work likeaBosch activesourcing"
24,10,0.40205815,"get ready to take a quantum leap into the future of healthcare! 🧬🔬 in the latest episode of our “from know-how to wow” podcast, our hosts are joined by riccardo cipolletti, a physicist at : "
25,2,0.26825428,"snowboarder  has two passions: mastering new tricks on the slopes and turning them into amazing videos with his friend moritz amsuess. 🏂 however, shooting high-quality footage while soaring through the air or down the slopes is no easy task, especially as movement can make it difficult for a camera to capture crisp videos. back in the camcorder era of the 1990s, which inspired both of yanneck’s passions, the solution was to simply use a fixed video camera and film from a distance. 📹 nowadays, yanneck can ride side-by-side with moritz, capturing razor-sharp footage on an action camera thanks to the precision of our image stabilization sensor. the microelectromechanical system, which is fitted into the action camera, delivers data for optical image stabilization in less than a millisecond, allowing yanneck to express his passion as an athlete and an artist in great detail. 🙌 learn more: "
26,7,0.44552702,"🏆 ""Best Brands Award"" for Bosch: For decades, our brand has stood for quality, innovative products and value -based action that brings up ecological, social and economic goals.For the second time, Bosch has been awarded the renowned German marketing award ""Best Brands Awards"" for the second time - this time in the anniversary category ""Best of the Best Brands"".Together with Lego and Nivea, Bosch is one of the brands that have managed to be represented in the ranking of German citizens in the past 20 years.We are particularly happy about this because the awards based on a representative consumer survey of the market research institute GfK with around 12,000 participants are awarded.The decisive factors are two criteria: the economic success of a brand and their attractiveness in the perception of consumers."
27,2,0.3270382,"🏡🌡️ did you know that you can reduce your carbon footprint and energy costs by properly insulating your home? 🤔 signs of inadequate insulation can include drafts, moisture, or a fluctuation in temperatures, but its often difficult to pinpoint the source. so how do you accurately identify areas to improve insulation in your home? our advancedtemp tool can detect insufficient insulation and energy loss by measuring surface and room temperatures as well as air humidity. using temperature and humidity analysis in combination with infrared spot measurement, the tool can also identify areas that are at risk of developing mold to help improve living conditions. learn more: "
28,10,0.6122906,"We are convinced that learning and further training are essential for a successful company.That is why we support our employees by providing a broad learning infrastructure, shaping a modern learning culture and offering space for real development.😊 This week college meet: inside from 10 countries in the Heidehof house in Stuttgart, right next to the historic Bosch-Villa, to shape the future of learning at Bosch together.The hybrid event format enables employees from all over the world to participate and work together.🌎 Highlight of the learning strategy-Week is a storytelling pitch event in which the individual project teams present how the future of learning at Bosch will look.For example, they show how employees can access suitable learning offers that can easily be integrated into their everyday work and how managers can support their teams in their development.In addition, the teams explain how they want to achieve more efficient procurement of learning offers through the use of global synergies.💪 Work likeaBosch newlearning strategyweek"
29,1,0.37524104,"🧹🧼 do you always keep your home spotless, or do you dread the big spring clean? 🌻 we’ve developed a solution to make it easier for you to keep your home fresh all year round. freshup is the world’s first device that uses bosch plasma technology to remove odors from fabrics. active plasma particles are released to dissolve simple odor molecules with just a wipe. you can give your home an instant boost, whether you do the big clean all at once, or need a quick solution on the go. 🌬️ kid-friendly and pet-friendly, freshup doesn’t use chemicals, detergents, or water – perfect for fabrics such as clothes, the sofa, the curtains, or the dog’s cushion. 🏠🐾 learn more: "
30,1,0.33406624,"🧊🚘❄️ sliding for more safety: located in the arctic circle, the swedish region of arjeplog experiences extremely low temperatures, snow, and ice during winter. it was 50 years ago when bosch engineers arrived there for the first time and tested our then newly developed antilock braking system \(abs\) in extreme weather conditions. for the past 20 years, the vaitoudden peninsula in arjeplog has been home to our test center, which includes a 32 km-long road network, with modules on both land and frozen lake surfaces – testing and developing comfort and safety systems such as the electronic stability programs \(esp®\) and our brake-by-wire solution, a key focus this year. the technology, types of tests, and vehicles have changed over time, but the aim of testing has remained the same: to improve the safety of drivers on the road. learn more: "
31,1,0.41667542,"🧊🚘❄️ on thick ice for half a century: whenever a new safety technology for vehicles is developed, space and extreme conditions are required to test it out. in the early days, bosch engineers initially carried out testing in the alps in winter. 🏔️ the difficulties? tracks couldn’t be prepared for specific tests on both dry and icy surfaces on public roads — this could have been dangerous to other drivers. the solution? the polar district area of arjeplog in northern sweden. from the early 1970s, our experts could test in harsh winter conditions here, and drivers had the space to make movements like big swerves and wider turns without the danger of rocks or slopes. the frozen lake offered perfect conditions to test safety systems such as our antilock braking system \(abs\) without risks. ✔️ for 20 years, weve had our own test center in arjeplog where some 1,000 associates from  put our vehicle safety and comfort systems through their paces during testing season. learn more: "
32,10,0.55101377,"What does it take to produce drive technologies of the future?🤔 Definitely a strong team.Hi, we are Natalie and Julian and give you an insight into the work in our work in Homburg.🏭   lies in the east of a hydrogen model region-the Saarland.📍 It is therefore no coincidence that we also manufacture components for hydrogen applications at this location.They are used in mobile fuel cell drive or in stationary fuel cells, as can be seen here in the picture.We are proud to be part of change towards electromobility.🤩 You want to be part of it too?Then apply now 👉 "
33,10,0.33282208,"🚋 on track to making urban mobility safer: when it comes to driver assistance systems, most people think of systems like the lane keeping assist or parking aid sensors in modern cars. but what if this technology could be used to make tram traffic in cities safer, too? 🤔 the challenge: todays cars are like computers on wheels, while trams are still driving around using analog technology, are much bigger and heavier, and it takes longer for them to brake. thats why we developed our tram forward collision warning system, which uses the same technology as the one in cars but with different software. it can detect potential collisions and alert the driver to slow down. in an emergency, the system can even take control of the brakes to avoid a collision. 🛑 learn more: "
34,10,0.4285649,"buckle up, listeners! in the latest episode of our “from know-how to wow” podcast, discover how ai is helping to make ridesharing safer. 🚘⚠️ joining our hosts is bosch engineer , one of the developers of the new ""ridecare companion"" system: "
35,7,0.25156233,"from 0 to 100 km/h in 2.7 seconds, a top speed of 325 km/h – and no stress when having to recharge. bosch charging services are now available in the new fully electric  granturismo folgore. 🚘🔌 our charging solutions give drivers of the granturismo folgore easy access to already more than 450,000 public charging points in 30 european countries and, in the course of 2023, also in the asia-pacific region. 🌎 once registered for the services, it takes just a few taps on the navigation system or the app to find a charge station, charge, and pay. our services also provide information on which costs and terms of use apply at the given charge points. 📱 find out more: "
36,3,0.27859506,"do you consider the environmental impact when choosing a new vehicle? 🌎🍃 cao mengyi made this a priority when she chose her ora good cat electric car, which is powered by our eaxle electric drive system. ""it makes me feel good every morning knowing that i can help protect the environment,"" she says. now, behind the wheel of her electric vehicle, cao mengyi is not only commuting more sustainably than before, the systems quiet powertrain and dynamic handling means she is more relaxed too. 🙌 learn more: "
37,8,0.35691327,"april 7 marks worldhealthday. 🌍 did you know that we use our expertise in sensor technology, automation, connectivity, and more as the foundation for innovative healthcare solutions? by doing so, we want to help improve peoples health and quality of life. an example of this is vivalytic, our universal platform for molecular diagnostics. predestined for decentralized use, it can carry out many complex tests fully automatically, which not only eases the workload of medical and laboratory staff but also increases a patients chances of a successful therapy thanks to the rapid diagnosis. in the future, so-called ""bio-mems"", based on microelectromechanical systems \(mems\), will be the core of vivalytic. for this, our  associates have adapted our mems expertise for medical technology for the first time and integrated them into the diagnostic platform. learn more: "
38,2,0.21504715,"mealtimes just got more stylish for your furry friend! 🐶 get creative on internationalpetday and transform a pair of old wooden chairs into an upcycled dog bowl stand with our  guide. why not get the whole family involved and add some personalized artwork on the frame, too? 🎨🐾 find the guide and many more upcycling projects here: "
39,10,0.4981907,"whether its pollen, pet hair, dust, or viruses – there are many factors that can have a negative effect on the quality of the air that we breathe and, in turn, on our health and well-being. 🤒 thats why we have developed our air purifiers. 🙌 thanks to a multi-stage filter system, they can remove 99.9% of harmful substances and odors from the air. and weve made them effortless to use, too: in automatic mode, the performance of the air purifiers continuously adapts to the air quality and room size thanks to smart sensors. 💨 healthtechnology sensors airquality"
40,1,0.48026764,"🔋🚘 helping to create a sustainable footing for the increasing demand in electromobility: with more and more electric cars on the roads, the demand for batteries and for the recycling of the raw materials they contain is rising. to help with this, we have developed europes first fully automated system for discharging and disassembling battery modules. the system not only simplifies recycling but also increases efficiency and enhances safety: it takes just a few minutes to deep-discharge a module while with the manual process currently used, it takes up to 24 hours. supplied by our subsidiary  from april 17-21, 2023. find out more: "
41,11,0.64655286,"""i want to be a role model for young african women and other minorities striving for a professional career. every one of us can make a difference."" 🌍 meet initiative, where young african talents prepare for future leadership roles in africa. at bosch, we believe in the power of partnerships and sharing knowledge to drive innovation and growth. as a founding member of the initiative, we have provided insights into our company for 45 young africans since 2008 and hired 32 alumni after their completion of the program. we aim to continue to strengthen business relations between the continents. 🤝 afrikakommt partnership businessculture"
42,6,0.24901532,"""invest in our planet"": this is the theme of this years earthday on april 22. 🍃💚🌍 at bosch, sustainability is firmly anchored in our values and we are constantly working to reduce our environmental footprint. in 2023, we are taking a big step forward toward minimizing the use of new raw materials and using recycled materials for our . all along the value chain, we have looked at where it was possible to conserve materials in general and plastics specifically, and where they could be replaced by more eco-friendly materials. starting in fall, 23 new and improved measuring tools for diyers will be available. ♻️ the quigo green cross line laser was our pioneer in the field of sustainable product development. 90% of its housing and accessories are made from recycled plastic. now, we are translating this concept to our entire measuring tools portfolio from the diy segment. learn more: "
43,1,0.3262202,"sorting plastics and other waste for recycling can be a challenge – with a significant amount still ending up in landfills. ♻️🧴 in the latest episode of our ""from know-how to wow"" podcast, our hosts are joined by  to learn how ai can improve this process: "
44,10,0.24288715,"do you use ridesharing services regularly? ✋ rideshare driver hidalgo luna knows: safety and comfort are two important aspects when it comes to ridesharing – for passengers as well as for drivers. to help both parties feel safe and comfortable, he uses our bosch ridecare companion technology during his shifts in new york city, us. 📱🚘 equipped with multiple sensors, the smart camera can record the vehicles cabin as well as its surroundings – even when its dark. the system also features a wireless emergency call button, which can connect hidalgo to our trained safety agents. in case of an emergency, the agents can communicate with him, access the camera remotely to assess the situation, and send help if needed. learn more about hidalgo and ridecare companion: "
45,4,0.18646967,"📱🚘 whether its a ride to the office for a meeting or to return to the hotel after spending the day exploring a new city – using ridesharing services as a mode of transportation in the city has become increasingly popular in recent years. however, riding with strangers in a private and enclosed space like a car can feel more dangerous compared to public transportation. to help with accountability, we have developed our ridecare companion. the smart camera records the inside and outside of the vehicle during the ride. using the app, the recording can then be played back easily and quickly in case of a disagreement. the smart camera also analyzes the field of view using artificial intelligence and alerts the driver when the view is being blocked. this allows all parties involved to feel safer – no matter the destination. 👍 learn more: "
46,10,0.45039022,"📢 The application phase for your training or dual studies 2024 at Bosch has started!Discover over 30 different apprenticeships as well as dual and cooperative courses in the following areas: 👩‍🔧🦾 Technology 🧑‍💼📊 Economy 🧑‍💻📶 It find the training or study place that suits you and apply now: https: // lnkd.in/GQPMZZB8 PS: If you have long been one of the old hands, no thing - then just recommend us.😇 Work likeaBosch training dualessteidium"
47,10,0.31934243,"The future is in our semiconductor chips: they are the basic building blocks, on the basis of which cars are becoming increasingly intelligent.💡 Hand and Rolf work on the development of the microchips at Bosch.You always have current megatrends such as digitization or autonomous driving.🚗 You can find out what current developments you are concerned with and how you shape the future of micro technology with your own work"
48,10,0.522847,"🚀🚘 business as usual? not at all! our new vehicle motion management is an example of how trends in automotive engineering lead to real innovative leaps. thanks to intensified cross-divisional collaboration, weve developed a faster and more accurate system for stabilizing vehicles that goes beyond the braking system. it can also intervene in the electrical powertrain and electric steering system, resulting in shorter braking distances and safer roads. 🛣️🚦 💻 vehicle motion management does not have to be part of the braking system. it can also come as a standalone, portable software package, ready for integration into a centralized control unit – a vehicle computer for example. and thats just the beginning! we anticipate a threefold increase in software applications and even a tenfold increase in applications that access the cloud. learn more: "
49,8,0.28391695,"Hi, we are Rebecca and Corinna.👋 Data is our passion.💻 For this reason, we both decided on a doctorate in the Industrial Data Lab: "
50,10,0.29899174,"🚧🍃 electromobility heads off-road and onto worksites: with environmental and climate protection concerns increasing in all areas, the demand for the electrification of mobile work machinery is expected to grow as well. powered by electric drives, the machines can not only contribute to reducing emissions at the worksites, but also provide a better environment for workers as they run quieter, require less maintenance, and are more user-friendly compared to combustion engine models. to help foster the electrification of work machinery and to meet the demand, were continuously working on our broad portfolio, currently including some 16 motors and various components which can be adapted to a variety of machine sizes and functions. learn more: "
51,11,0.37580732,"🤔 can you relate to the challenge of balancing work and family life? 👪⚖️ robert bosch, the founder of our company, was not only a successful entrepreneur but also a family man who knew the importance of work-life balance. even with the companys increasing success, he still made sure to spend time with his wife and children with weekend vacations and excursions in the countryside. 🌳 follow along as we share stories over the next two weeks of how the flexibility of smart work at bosch helps our associates around the world to find a good work-life balance. 💪🌍 find out more about robert bosch and his family life: "
52,10,0.56998515,"At the Schwieberdingen location, the first development location of the Bosch Group, we develop the electrical drive and shape a new era of mobility.This is made possible by more than a third of the 6,300 employees at the location, which, in addition to complete drive units such as Eachs, also develop individual components such as emotors, inverters, DC/DC converters and charger converters.We take you on Instagram and give you exciting insights into our work today and tomorrow and provide you with answers to the following questions: ⚡ What distinguishes the area of electrification?🔋 What facts characterize the market of emobility?👩‍🎓👨‍🎓 What is the cooperative study vehicle mechatronics emobility plus?🚗 How can you become part of our team at Bosch and help shape emobility?Follow us and learn more: "
53,11,0.34035,"🤔 do you value flexibility at work? 💻 bosch associate  my supervisors have always been incredibly understanding about my situation,"" she says. 👩‍🌾👩‍💻 at bosch, we believe in empowering our associates to pursue their passions and balance their needs with the work requirements. thats why we introduced ""smart work"", a global concept that helps our associates strike the right balance in the modern hybrid working environment. as part of it, we consider every employees specific role and needs - whether it’s new professional challenges, training and development, or flexibility at work. 💪🌏 learn more about our ""smart work"" concept: "
54,10,0.33479226,"🤔 have you ever wanted to pursue a passion and turn it into a career? 💡 meet , who went from hr manager to engineer. after graduating from university, jerry spent several years working in hr – first at an automotive manufacturer, then at bosch in suzhou, china. despite having the perfect skills, his real passion laid in engineering: ""i was immensely fascinated with how technical things fit together and function."" 👨‍💼👨‍🔬 during his finance studies, jerry already started to teach himself and read up on engineering. at the time, he had no idea that he would one day turn his hobby into a profession. but the move to bosch proved to be a stroke of luck. when a position as an application engineer in the two-wheeler & powersports business unit opened up, he applied and landed the job. since then, he has been working on integrating technologies such as stability control for motorcycles into vehicle software. 🏍️🔧 at bosch, we offer our associates a wide range of opportunities with job profiles in more than 60 countries, to give them the chance to pursue their dream career. 🌍 learn more: "
55,10,0.37011695,"Two days full of exciting lectures, discussions and pitches 💬 - that was the case for our trainees from the areas of Research and Development and IT.Otherwise they are distributed over different Bosch locations, in May they finally came together personally at the   is Boschs trainee program.As a trainee, you run there for 12 to 24 months four to six stations at home and abroad- from the group to the start-up.Here is all the information: "
56,11,0.3181481,"better together: this is how two bosch associates progress their careers and spend more time with their families by sharing a job. 👩👱‍♀️➡️ 🤝 in 2022,  took over the local hr department of boschs automotive steering division in schwäbisch gmünd, germany. since then, they have shared the tasks that one person would have otherwise handled alone, for example, the responsibilities of decision-making. ""bianca is more structured and precise than i am, but i like to develop new projects and am more innovative,"" says katharina langecker. ""we complement each other perfectly."" 💡 at bosch, job-sharing is becoming more and more popular. it allows for katharina and bianca to work part-time but still have their desired responsibilities and divide tasks based on their strengths – turning their differences into advantages. learn more: "
57,11,0.23613675,"👋 meet , a bosch associate who built a dream home for his family using a range of our solutions and tools. 🏠🙌 drawing on his expertise from working in our building technologies department in slovakia, tomáš collaborated with colleagues to select and implement various technologies and products, including a heat pump, a security system, and kitchen appliances. something he is particularly proud of is his customized heating and cooling system. working with his developer and colleagues, he integrated pipes directly into the core of the concrete ceiling to enable him to use it as a cooling system. ""during the summer i was surprised by the effectiveness of the cooling of the concrete core. when the outdoor temperature was between 27 °c and 35 °c, the indoor system kept the temperature at 24 °c,"" says tomáš. learn more about our home solutions and products: "
58,1,0.29388165,"are you ready to strip back the details on battery recycling? 🔋♻️ in the latest episode of our ""from know-how to wow"" podcast, our hosts , to discuss the challenge of recycling electric vehicle batteries: "
59,11,0.21933505,"🤝 working together to help transform childrens lives:  children’s toys using bosch tools. handed to the ""hand to hand"" foundation, they now bring joy and provide educational opportunities for young children. learn more about the two foundations: "
60,10,0.34545508,"put on your helmets and gear up for a ""wheelie"" good time! 😉🚴 🚀🔋 whether tackling a long commute, hauling kids around town, or going on off-road adventures, ebikes have revolutionized the world of two-wheelers. they are one of the most sustainable means of transport and play a central role in the mobility of the future. for more than 10 years, bosch has been setting new standards with ebike drive systems for emountain bikes, etrekking bikes, ecity bikes, and ecargo bikes. 🚴🏻📱 and our ebike journey continues: our new system generation points the way to the digital future for ebikes. the battery, the display, the control unit, the drive unit, and the bosch ebike abs are fully connected. regular updates over-the-air keep them up to date and add new features. you can control all functions via the ebike flow app. the technically and precisely matched components let you individualise your riding experience and take riding fun to the next level. more: "
